36,Jackson,CA,7.25,Tile,233,3.50,2.12,815.50,493.96,91.6622,1401.1222
39,Timothy,NY,4,Tile,433,3.50,2.12,1515.50,917.96,97.3384,2530.7984
7,Danny,NY,4,Tile,233,3.50,2.12,815.50,493.96,52.3784,1361.8384
13,Jack,NY,4,Tile,233,3.50,2.12,815.50,493.96,52.3784,1361.8384
47,Z,TX,4.45,Tile,200,3.50,2.12,700.00,424.00,44.9600,1168.9600
17,Ada,NY,4,Tile,233,3.50,2.12,815.50,493.96,52.3784,1361.8384
83,Z,TX,4.45,Laminate,233,1.75,2.12,407.75,493.96,36.0684,937.7784
57,Sd,TX,4.45,Tile,233,3.50,2.12,815.50,493.96,52.3784,1361.8384
26,Z,TX,4.45,Tile,233,3.50,2.12,815.50,493.96,52.3784,1361.8384
58,Tim,NY,4,Tile,233,3.50,2.12,815.50,493.96,52.3784,1361.8384
60,Kim,NY,4,Tile,233,3.50,2.12,815.50,493.96,52.3784,1361.8384
30,G,TX,4.45,Laminate,233,1.75,2.12,407.75,493.96,36.0684,937.7784
63,G,TX,4.45,Laminate,233,1.75,2.12,407.75,493.96,36.0684,937.7784
95,F,TX,4.45,Wood,233,5.15,2.12,1199.95,493.96,67.7564,1761.6664
