96,Timmy,TX,4.45,Tile,233,3.50,4.15,815.50,966.95,79.31,1861.76
98,Timmy,TX,4.45,Tile,233,3.50,4.15,815.50,966.95,79.31,1861.76
66,Timmy,TX,4.45,Tile,233,3.50,4.15,815.50,966.95,79.31,1861.76
34,Timmy,TX,4.45,Tile,233,3.50,4.15,815.50,966.95,79.31,1861.76
67,Timmy,TX,4.45,Tile,233,3.50,4.15,815.50,966.95,79.31,1861.76
5,Timmy,TX,4.45,Tile,233,3.50,4.15,815.50,966.95,79.31,1861.76
38,Timmy,TX,4.45,Tile,233,3.50,4.15,815.50,966.95,79.31,1861.76
7,Timmy,TX,4.45,Tile,233,3.50,4.15,815.50,966.95,79.31,1861.76
74,Timmy,TX,4.45,Tile,233,3.50,4.15,815.50,966.95,79.31,1861.76
77,Timmy,TX,4.45,Tile,233,3.50,4.15,815.50,966.95,79.31,1861.76
78,Timmy,TX,4.45,Tile,233,3.50,4.15,815.50,966.95,79.31,1861.76
51,Timmy,TX,4.45,Tile,233,3.50,4.15,815.50,966.95,79.31,1861.76
53,Timmy,TX,4.45,Tile,233,3.50,4.15,815.50,966.95,79.31,1861.76
21,Timmy,TX,4.45,Tile,233,3.50,4.15,815.50,966.95,79.31,1861.76
87,Timmy,TX,4.45,Tile,233,3.50,4.15,815.50,966.95,79.31,1861.76
24,Timmy,TX,4.45,Tile,233,3.50,4.15,815.50,966.95,79.31,1861.76
90,Timmy,TX,4.45,Tile,233,3.50,4.15,815.50,966.95,79.31,1861.76
92,Timmy,TX,4.45,Tile,233,3.50,4.15,815.50,966.95,79.31,1861.76
